SNODP,SWGDN,LWGAB,T2M,SWLAND,GHTSKIN,HFLUX,SPEED,TLML,TSH,EVPSOIL,LWLAND,TS,QV2M,SLP,Y,M,D,W,H,S,T16_plus30
0.14246954023838,14.3317060470581,221.069396972656,-11.4195007324219,7.12483310699463,-16.0041561126709,-8.77449798583984,3.97750115394592,-8.19943847656248,-15.4782775878906,0,-29.5860176086426,-15.4787048339844,0.001285248901695,101403.1953125,2013,10,25,0,0,2,0
0.357343047857285,0,153.940948486328,-26.5924743652344,0,-9.40332794189453,-19.793062210083,4.88297033309937,-20.8024200439453,-36.4784454345703,0,-24.7801609039307,-36.480078125,0.0003275197232142,101054.53125,2001,12,25,0,1,3,0
0.42345455288887,0,194.479309082031,-26.6343139648437,0,-4.01732969284058,-4.67754077911377,3.70093393325806,-24.7710479736328,-28.7097839355469,0,-8.16590595245361,-28.7103942871094,0.0003638524212874,100528.21875,2011,12,17,1,0,2,0
0,121.219879150391,323.677612304688,7.18190917968752,101.398658752441,3.33208346366882,28.7225666046143,2.29417705535889,6.16240844726565,8.07583007812502,21.9293003082275,-25.5189838409424,8.06765136718752,0.006105160806328,100940.5703125,2015,7,24,0,0,1,1
0.557536900043488,1.05810546875,120.446838378906,-37.5653289794922,0.481400966644287,-11.8780937194824,-12.5875225067139,3.90883469581604,-32.9073852539062,-46.9929718017578,0,-28.3827457427979,-46.9967559814453,0.0001066125623765,101359.9375,2011,1,23,1,0,3,0
0.56766676902771,80.5264511108398,175.228820800781,-21.6491455078125,34.3076286315918,-1.59095060825348,-2.39867544174194,3.25733709335327,-19.5967468261719,-26.8189910888672,0,-34.7387886047363,-26.8190979003906,0.0005478361854329,101543.6875,2001,3,14,0,0,3,0
0.173218324780464,106.40406036377,207.554046630859,-6.48831787109373,59.9779624938965,-10.8076772689819,-14.0499076843262,5.68980979919434,-3.33127441406248,-6.39972534179685,5.25524044036865,-71.5456008911133,-8.07218017578123,0.0020907819271087,102434.96875,2003,9,23,0,0,2,0
0,208.85009765625,290.295959472656,6.09267578125002,173.275634765625,-0.500603914260864,47.5591888427734,3.33822512626648,4.91036376953127,7.43081054687502,61.3324584960938,-52.3106803894043,7.40206298828127,0.0053351144306361,101853.5,2010,6,22,0,0,1,1
0.354461401700974,0,196.196014404297,-27.750845336914,0,-3.21218061447144,-4.0657639503479,4.30863904953003,-25.7434448242187,-30.329214477539,0,-1.61746096611023,-30.3315338134765,0.0003213917370885,98905.6640625,2001,12,21,0,0,3,0
0.0243421718478203,99.1320037841797,230.539596557617,1.25045166015627,82.6653213500977,-15.1518840789795,6.91654300689697,3.11803960800171,2.38576660156252,-0.104711914062477,13.4130973815918,-76.047119140625,-0.135046386718727,0.003948900848627,100328.5078125,2001,9,21,0,0,1,0
0.765913665294647,199.621078491211,205.779922485352,-16.9554504394531,82.0317916870117,-1.81585264205933,29.5759105682373,2.48513960838318,-16.9137939453125,-17.1136840820312,0,-38.6928405761719,-17.1135925292969,0.0008310749544762,102074.5625,2013,5,2,0,0,0,1
0.521992325782776,11.9961347579956,206.386260986328,-19.8209289550781,5.04259872436523,-3.07990622520447,-3.26991057395935,2.36657476425171,-17.9410003662109,-24.4482940673828,0,-10.9796695709229,-24.4484619140625,0.0007042724173516,100455.484375,2010,2,13,1,0,3,0
