Y,M,D,W,H,S,SNODP,SWGDN,LWGAB,T2M,SWLAND,GHTSKIN,HFLUX,SPEED,TLML,TSH,EVPSOIL,LWLAND,TS,QV2M,SLP,T8
2010,2,28,1,0,3,0.568357348442078,35.3743476867676,162.002456665039,-31.4840606689453,14.8393154144287,-4.894859790802,0.52434116601944,1.98934638500214,-30.4066986083984,-35.7107299804687,0,-18.8655605316162,-35.7116149902344,0.0002153124514734,100976.25,0
2007,3,27,0,0,0,0.46108490228653,80.9307861328125,195.338882446289,-20.8036254882812,33.845531463623,0.800830662250519,-6.24604368209839,9.49831199645996,-20.7431701660156,-21.1577819824219,0,-33.5520668029785,-21.1574920654297,0.0005704520735889,101365.6171875,0
2010,1,3,1,0,3,0.42525315284729,0,186.129028320312,-23.2515167236328,0,-4.76387405395508,-20.2826175689697,7.72384357452393,-20.5221008300781,-25.3823455810547,0,-27.8624591827393,-25.3811706542969,0.0004647542373277,102686.4453125,0
2006,2,4,1,0,3,0.458829075098038,5.54150390625,149.708557128906,-27.509619140625,2.39696860313416,-2.71223211288452,-37.1725120544434,8.46115207672119,-23.1547912597656,-31.6364959716797,0,-43.7055625915527,-31.6358245849609,0.0002788402198348,100537.9296875,0
2009,12,10,0,0,2,0.378430813550949,0,251.624954223633,-7.94742431640623,0,-2.17143154144287,-18.7226219177246,7.06324768066406,-4.75028076171873,-10.0538696289062,0,-20.291877746582,-10.0543273925781,0.0017104644794017,101887.6171875,0
2005,6,30,0,0,1,0,209.83544921875,330.859130859375,13.5170532226563,174.498153686523,6.3129825592041,32.6620025634766,3.48659896850586,12.4948364257813,14.3589416503906,62.2253837585449,-48.3584098815918,14.3358093261719,0.00900499522686,101020.9765625,1
2010,12,29,0,0,3,0.548577427864075,0,122.577911376953,-37.7539428710937,0,-12.0978631973267,-5.98220586776733,2.02077007293701,-34.2545684814453,-49.4948181152344,0,-19.487756729126,-49.494482421875,0.0001145155838457,101605.890625,0
2015,7,5,1,0,1,0,336.938629150391,284.786346435547,14.199609375,277.33642578125,20.7540283203125,24.5443782806396,3.45787644386292,13.9239135742188,14.426416015625,107.906288146973,-95.9300384521484,14.4219299316406,0.007685677614063,102136.71875,1
2001,12,4,0,0,2,0.315173625946045,0,196.608169555664,-24.7551330566406,0,-5.55046319961548,-10.9087238311768,7.07935905456543,-24.1628173828125,-25.6301330566406,0,-16.4302272796631,-25.6305908203125,0.0004166443832218,101627.1875,0
2005,8,26,0,0,1,0.0963031053543091,63.0767822265625,302.589935302734,2.34609375000002,51.9760665893555,-20.6527462005615,21.2722949981689,3.83094453811646,1.44634399414065,2.97493896484377,10.373218536377,-21.3617095947266,2.8687683105469,0.0044867717660963,100893.4375,1
2004,6,14,0,0,0,0,247.013671875,311.976196289062,15.5171142578125,206.518539428711,38.7092132568359,8.97324752807617,2.43180394172668,15.6142517089844,15.282373046875,76.211051940918,-68.9930648803711,15.2839599609375,0.0088566970080137,101108.203125,1
2007,10,2,0,0,2,0.173333182930946,32.7565803527832,263.448547363281,-3.79450073242185,26.7130603790283,-21.6102981567383,12.4052686691284,6.38220024108887,-4.52240600585935,-3.4941467285156,7.3544020652771,-26.6955623626709,-3.54678955078123,0.0027444865554571,100278.1328125,0
2003,4,13,1,0,0,0.628152668476105,96.3663711547852,277.178497314453,-0.626257324218727,41.6571464538574,3.96844720840454,-26.6888961791992,8.89161491394043,-0.0578369140624773,-1.6231750488281,0,-31.1908149719238,-1.62344970703123,0.0031931574922055,100808.125,0
